family,pctid,score,n
Adenoviridae,100,100,26
Adenoviridae,99,100,184
Adenoviridae,98,100,505
Adenoviridae,97,100,351
Adenoviridae,96,100,190
Adenoviridae,95,100,91
Adenoviridae,94,100,39
Adenoviridae,93,100,34
Adenoviridae,92,100,31
Adenoviridae,91,100,42
Adenoviridae,90,100,36
Adenoviridae,89,100,47
Adenoviridae,88,100,14
Adenoviridae,87,100,2
Adenoviridae,83,100,4
Adenoviridae,82,100,1
Adenoviridae,100,96,3
Adenoviridae,99,96,98
Adenoviridae,98,96,184
Adenoviridae,97,96,160
Adenoviridae,96,96,131
Adenoviridae,95,96,31
Adenoviridae,94,96,17
Adenoviridae,93,96,12
Adenoviridae,92,96,18
Adenoviridae,91,96,11
Adenoviridae,90,96,11
Adenoviridae,89,96,6
Adenoviridae,88,96,4
Adenoviridae,87,96,4
Adenoviridae,86,96,1
Adenoviridae,85,96,1
Adenoviridae,83,96,4
Adenoviridae,82,96,7
Adenoviridae,100,92,4
Adenoviridae,99,92,116
Adenoviridae,98,92,158
Adenoviridae,97,92,82
Adenoviridae,96,92,51
Adenoviridae,95,92,20
Adenoviridae,94,92,9
Adenoviridae,93,92,13
Adenoviridae,92,92,10
Adenoviridae,91,92,10
Adenoviridae,90,92,9
Adenoviridae,89,92,5
Adenoviridae,88,92,3
Adenoviridae,87,92,1
Adenoviridae,86,92,1
Adenoviridae,84,92,1
Adenoviridae,83,92,13
Adenoviridae,82,92,3
Adenoviridae,100,88,6
Adenoviridae,99,88,124
Adenoviridae,98,88,101
Adenoviridae,97,88,98
Adenoviridae,96,88,23
Adenoviridae,95,88,29
Adenoviridae,94,88,7
Adenoviridae,93,88,10
Adenoviridae,92,88,10
Adenoviridae,91,88,10
Adenoviridae,90,88,11
Adenoviridae,89,88,7
Adenoviridae,88,88,1
Adenoviridae,87,88,4
Adenoviridae,85,88,1
Adenoviridae,83,88,2
Adenoviridae,82,88,2
Adenoviridae,100,84,8
Adenoviridae,99,84,82
Adenoviridae,98,84,103
Adenoviridae,97,84,57
Adenoviridae,96,84,13
Adenoviridae,95,84,22
Adenoviridae,94,84,8
Adenoviridae,93,84,3
Adenoviridae,92,84,8
Adenoviridae,91,84,10
Adenoviridae,90,84,6
Adenoviridae,89,84,2
Adenoviridae,88,84,4
Adenoviridae,87,84,5
Adenoviridae,86,84,4
Adenoviridae,85,84,2
Adenoviridae,83,84,7
Adenoviridae,82,84,3
Adenoviridae,100,80,4
Adenoviridae,99,80,57
Adenoviridae,98,80,48
Adenoviridae,97,80,60
Adenoviridae,96,80,12
Adenoviridae,95,80,19
Adenoviridae,94,80,8
Adenoviridae,93,80,7
Adenoviridae,92,80,16
Adenoviridae,91,80,21
Adenoviridae,90,80,9
Adenoviridae,89,80,5
Adenoviridae,88,80,4
Adenoviridae,87,80,7
Adenoviridae,86,80,8
Adenoviridae,85,80,7
Adenoviridae,83,80,5
Adenoviridae,82,80,7
Adenoviridae,100,76,1
Adenoviridae,99,76,50
Adenoviridae,98,76,47
Adenoviridae,97,76,63
Adenoviridae,96,76,22
Adenoviridae,95,76,8
Adenoviridae,94,76,5
Adenoviridae,93,76,16
Adenoviridae,92,76,13
Adenoviridae,91,76,9
Adenoviridae,90,76,8
Adenoviridae,89,76,8
Adenoviridae,88,76,2
Adenoviridae,87,76,15
Adenoviridae,86,76,10
Adenoviridae,85,76,7
Adenoviridae,83,76,3
Adenoviridae,82,76,6
Adenoviridae,100,72,5
Adenoviridae,99,72,43
Adenoviridae,98,72,48
Adenoviridae,97,72,72
Adenoviridae,96,72,20
Adenoviridae,95,72,13
Adenoviridae,94,72,9
Adenoviridae,93,72,7
Adenoviridae,92,72,10
Adenoviridae,91,72,8
Adenoviridae,90,72,9
Adenoviridae,89,72,7
Adenoviridae,88,72,10
Adenoviridae,87,72,9
Adenoviridae,86,72,10
Adenoviridae,85,72,5
Adenoviridae,84,72,2
Adenoviridae,83,72,5
Adenoviridae,82,72,3
Adenoviridae,100,68,5
Adenoviridae,99,68,86
Adenoviridae,98,68,58
Adenoviridae,97,68,72
Adenoviridae,96,68,26
Adenoviridae,95,68,17
Adenoviridae,94,68,4
Adenoviridae,93,68,13
Adenoviridae,92,68,14
Adenoviridae,91,68,14
Adenoviridae,90,68,16
Adenoviridae,89,68,10
Adenoviridae,88,68,12
Adenoviridae,87,68,18
Adenoviridae,86,68,18
Adenoviridae,85,68,5
Adenoviridae,84,68,1
Adenoviridae,83,68,3
Adenoviridae,100,64,12
Adenoviridae,99,64,111
Adenoviridae,98,64,67
Adenoviridae,97,64,84
Adenoviridae,96,64,35
Adenoviridae,95,64,8
Adenoviridae,94,64,7
Adenoviridae,93,64,9
Adenoviridae,92,64,8
Adenoviridae,91,64,9
Adenoviridae,90,64,10
Adenoviridae,89,64,11
Adenoviridae,88,64,7
Adenoviridae,87,64,6
Adenoviridae,86,64,7
Adenoviridae,85,64,5
Adenoviridae,84,64,3
Adenoviridae,83,64,1
Adenoviridae,82,64,1
Adenoviridae,100,60,15
Adenoviridae,99,60,101
Adenoviridae,98,60,73
Adenoviridae,97,60,96
Adenoviridae,96,60,27
Adenoviridae,95,60,15
Adenoviridae,94,60,12
Adenoviridae,93,60,9
Adenoviridae,92,60,7
Adenoviridae,91,60,8
Adenoviridae,90,60,7
Adenoviridae,89,60,7
Adenoviridae,88,60,15
Adenoviridae,87,60,4
Adenoviridae,86,60,5
Adenoviridae,85,60,1
Adenoviridae,84,60,2
Adenoviridae,83,60,3
Adenoviridae,82,60,4
Adenoviridae,80,60,1
Adenoviridae,100,56,19
Adenoviridae,99,56,109
Adenoviridae,98,56,85
Adenoviridae,97,56,87
Adenoviridae,96,56,33
Adenoviridae,95,56,22
Adenoviridae,94,56,8
Adenoviridae,93,56,12
Adenoviridae,92,56,12
Adenoviridae,91,56,8
Adenoviridae,90,56,9
Adenoviridae,89,56,14
Adenoviridae,88,56,7
Adenoviridae,87,56,10
Adenoviridae,86,56,5
Adenoviridae,85,56,4
Adenoviridae,84,56,1
Adenoviridae,83,56,7
Adenoviridae,82,56,3
Adenoviridae,81,56,1
Adenoviridae,100,52,33
Adenoviridae,99,52,124
Adenoviridae,98,52,100
Adenoviridae,97,52,102
Adenoviridae,96,52,30
Adenoviridae,95,52,27
Adenoviridae,94,52,19
Adenoviridae,93,52,7
Adenoviridae,92,52,18
Adenoviridae,91,52,12
Adenoviridae,90,52,6
Adenoviridae,89,52,9
Adenoviridae,88,52,7
Adenoviridae,87,52,15
Adenoviridae,86,52,15
Adenoviridae,85,52,6
Adenoviridae,84,52,3
Adenoviridae,83,52,1
Adenoviridae,82,52,3
Adenoviridae,100,48,60
Adenoviridae,99,48,181
Adenoviridae,98,48,112
Adenoviridae,97,48,105
Adenoviridae,96,48,42
Adenoviridae,95,48,31
Adenoviridae,94,48,8
Adenoviridae,93,48,14
Adenoviridae,92,48,22
Adenoviridae,91,48,19
Adenoviridae,90,48,8
Adenoviridae,89,48,14
Adenoviridae,88,48,8
Adenoviridae,87,48,16
Adenoviridae,86,48,10
Adenoviridae,85,48,4
Adenoviridae,84,48,5
Adenoviridae,83,48,4
Adenoviridae,82,48,1
Adenoviridae,100,44,107
Adenoviridae,99,44,273
Adenoviridae,98,44,168
Adenoviridae,97,44,137
Adenoviridae,96,44,44
Adenoviridae,95,44,30
Adenoviridae,94,44,28
Adenoviridae,93,44,31
Adenoviridae,92,44,17
Adenoviridae,91,44,29
Adenoviridae,90,44,17
Adenoviridae,89,44,17
Adenoviridae,88,44,11
Adenoviridae,87,44,15
Adenoviridae,86,44,11
Adenoviridae,85,44,10
Adenoviridae,84,44,12
Adenoviridae,83,44,8
Adenoviridae,82,44,3
Adenoviridae,81,44,3
Adenoviridae,100,40,224
Adenoviridae,99,40,356
Adenoviridae,98,40,220
Adenoviridae,97,40,176
Adenoviridae,96,40,69
Adenoviridae,95,40,55
Adenoviridae,94,40,32
Adenoviridae,93,40,31
Adenoviridae,92,40,22
Adenoviridae,91,40,30
Adenoviridae,90,40,22
Adenoviridae,89,40,28
Adenoviridae,88,40,17
Adenoviridae,87,40,23
Adenoviridae,86,40,12
Adenoviridae,85,40,20
Adenoviridae,84,40,3
Adenoviridae,83,40,1
Adenoviridae,82,40,2
Adenoviridae,81,40,2
Adenoviridae,80,40,1
Adenoviridae,100,36,418
Adenoviridae,99,36,689
Adenoviridae,98,36,351
Adenoviridae,97,36,231
Adenoviridae,96,36,102
Adenoviridae,95,36,68
Adenoviridae,94,36,41
Adenoviridae,93,36,28
Adenoviridae,92,36,26
Adenoviridae,91,36,30
Adenoviridae,90,36,25
Adenoviridae,89,36,36
Adenoviridae,88,36,19
Adenoviridae,87,36,22
Adenoviridae,86,36,29
Adenoviridae,85,36,15
Adenoviridae,84,36,10
Adenoviridae,83,36,8
Adenoviridae,82,36,2
Adenoviridae,80,36,2
Adenoviridae,78,36,1
Adenoviridae,100,32,849
Adenoviridae,99,32,1210
Adenoviridae,98,32,510
Adenoviridae,97,32,316
Adenoviridae,96,32,168
Adenoviridae,95,32,91
Adenoviridae,94,32,78
Adenoviridae,93,32,40
Adenoviridae,92,32,42
Adenoviridae,91,32,38
Adenoviridae,90,32,48
Adenoviridae,89,32,50
Adenoviridae,88,32,45
Adenoviridae,87,32,31
Adenoviridae,86,32,34
Adenoviridae,85,32,28
Adenoviridae,84,32,15
